[2025-06-09 13:09:12 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-04T09:52:04.003
[2025-06-09 13:09:12 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-04T09:52:04.003
[2025-06-09 13:11:07 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-04T21:09:04.003
[2025-06-09 13:11:32 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-09T21:09:04.003
[2025-06-09 13:35:48 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-9T21:30:04.003
[2025-06-09 13:42:09 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-9T21:30:04.003
[2025-06-09 13:43:48 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-09T21:30:04.003
[2025-06-09 13:50:03 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-09T21:30:04.003
[2025-06-09 13:50:04 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-09T21:30:04.003
[2025-06-09 13:50:47 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-04T09:52:04.003
[2025-06-09 14:01:04 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-04T09:52:04.003
[2025-06-09 14:10:09 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-09T21:30:04.003
[2025-06-09 14:16:08 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-09T22:10:04.003
[2025-06-09 14:34:56 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-04T09:52:04.003
[2025-06-09 14:34:57 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-04T09:52:04.003
[2025-06-09 14:35:47 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-09T22:34:04.003
[2025-06-10 05:01:16 UTC] 扫描记录: class_lesson_id=1932299199763349506, check_id=1932301934371344385, site_id=1887746143592955917, create_time=2025-06-10T13:01:14.862
[2025-06-10 06:27:39 UTC] 扫描记录: class_lesson_id=1932299199763349506, check_id=1932301934371344385, site_id=1887746143592955917, create_time=2025-06-10T13:02:44.845
[2025-06-10 06:35:42 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-04T09:52:04.003
[2025-06-10 07:39:25 UTC] 扫描记录: class_lesson_id=1932341306263764993, check_id=1932341343426273281, site_id=1887746144142409733, create_time=2025-06-10T15:39:21.693
[2025-06-10 11:40:30 UTC] 扫描记录: class_lesson_id=1929761676865687554, check_id=1929765194288926722, site_id=1887746143592955917, create_time=2025-06-03T13:02:05.836
[2025-06-10 11:49:02 UTC] 扫描记录: class_lesson_id=1930079840122863617, check_id=1930079859781566466, site_id=1887746143123193882, create_time=2025-06-10T19:44:04.003
